,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
2224,other,1370.0,2,2,75.0,2,5474.4525547445255
2225,other,1316.0,2,3,55.5,2,4217.325227963526
2226,Kaggadasapura,1350.0,3,1,55.5,3,4111.111111111111
2227,other,1050.0,2,1,43.0,2,4095.2380952380954
2228,KR Puram,1128.0,3,0,47.405,3,4202.570921985815
2229,Electronic City,921.0,2,1,34.0,2,3691.6395222584147
2230,Kundalahalli,1010.0,2,1,49.27,2,4878.217821782178
2231,KR Puram,1015.0,2,1,43.0,2,4236.453201970443
2232,TC Palaya,1200.0,2,0,66.5,3,5541.666666666667
2233,Lakshminarayana Pura,1179.0,2,1,75.0,2,6361.323155216285
2234,other,1850.0,4,2,86.0,4,4648.648648648648
2236,Bellandur,1605.0,3,2,85.0,3,5295.95015576324
2240,other,2400.0,7,2,110.0,6,4583.333333333333
2241,other,1000.0,1,1,55.0,2,5500.0
2242,Ramamurthy Nagar,1200.0,2,0,80.0,2,6666.666666666667
2243,other,1200.0,2,2,125.0,2,10416.666666666666
2244,Kammasandra,1200.0,2,1,66.0,2,5500.0
2245,other,1200.0,2,2,50.0,2,4166.666666666667
2246,Hennur,1255.0,2,1,57.5,2,4581.673306772908
2248,Kanakpura Road,1592.0,3,2,125.0,3,7851.75879396985
2249,other,1313.0,2,1,58.27,2,4437.928408225438
2250,Kogilu,1934.0,3,2,150.0,3,7755.946225439504
2251,Harlur,1200.0,2,1,49.5,2,4125.0
2253,Old Madras Road,935.0,2,1,45.0,2,4812.834224598931
2255,other,936.0,2,2,42.0,2,4487.179487179487
2256,other,1470.0,2,2,110.0,3,7482.993197278912
2257,other,1050.0,1,1,70.0,1,6666.666666666667
2258,Hennur Road,1232.0,2,0,69.61,2,5650.162337662337
2259,Ambedkar Nagar,2225.0,4,2,169.0,3,7595.505617977528
2260,other,1200.0,2,0,80.0,3,6666.666666666667
2261,Dasarahalli,1901.0,3,2,119.0,3,6259.863229879011
2262,Sarjapur  Road,1819.0,3,2,100.0,3,5497.526113249038
2263,other,1464.0,3,2,56.0,3,3825.136612021858
2265,Old Madras Road,3715.0,6,0,200.5,4,5397.039030955585
2266,9th Phase JP Nagar,5000.0,4,3,290.0,4,5800.0
2268,other,1256.0,2,1,60.0,2,4777.070063694267
2269,7th Phase JP Nagar,1100.0,2,2,44.0,2,4000.0
2270,TC Palaya,4800.0,3,3,302.0,4,6291.666666666667
2271,Kothanur,1435.0,3,3,70.0,3,4878.048780487805
2272,6th Phase JP Nagar,3245.0,4,3,250.0,4,7704.160246533128
2273,Sarjapur  Road,1845.0,4,1,110.0,3,5962.059620596206
2274,Jigani,2400.0,4,1,130.0,3,5416.666666666667
2275,HSR Layout,1140.0,2,2,46.0,2,4035.0877192982457
2276,Ulsoor,1200.0,2,0,60.0,2,5000.0
2277,Talaghattapura,2254.0,3,2,170.0,3,7542.147293700089
2278,Frazer Town,1750.0,3,2,150.0,3,8571.42857142857
2279,other,1020.0,2,1,37.0,2,3627.450980392157
2280,Bommanahalli,515.0,1,1,25.0,1,4854.368932038835
2281,Lingadheeranahalli,1893.0,3,2,140.0,3,7395.66825145272
2283,other,830.0,2,0,34.0,2,4096.385542168675
2284,Singasandra,600.0,2,1,36.5,2,6083.333333333333
2285,Bisuvanahalli,1075.0,2,1,90.0,3,8372.093023255815
2287,Kasavanhalli,1200.0,2,1,78.0,2,6500.0
2288,Sarjapur  Road,1233.0,2,2,77.65,2,6297.6480129764805
2289,Bannerghatta Road,1255.0,2,2,65.26,2,5200.000000000001
2291,Varthur,2145.0,3,2,175.0,3,8158.508158508159
2292,1st Phase JP Nagar,1500.0,5,4,85.0,5,5666.666666666667
2293,Kothannur,740.0,2,1,34.0,2,4594.594594594595
2294,Kengeri,1250.0,3,3,48.0,3,3840.0
2296,Sarjapur  Road,1525.0,2,2,60.0,3,3934.4262295081967
2297,Kogilu,540.0,1,0,36.0,1,6666.666666666667
2298,Tumkur Road,1240.0,2,1,84.0,3,6774.193548387097
2299,Subramanyapura,1245.0,2,1,68.0,3,5461.847389558233
2304,Whitefield,1155.0,2,1,60.0,2,5194.805194805195
2305,other,1520.0,2,3,62.0,2,4078.9473684210525
2306,Thigalarapalya,3122.0,6,2,245.0,4,7847.533632286995
2307,Harlur,1290.0,2,1,85.0,2,6589.147286821705
2309,Kannamangala,3000.0,4,0,200.0,4,6666.666666666667
2310,Whitefield,3887.9107999999997,4,3,270.0,4,6944.603770230532
2312,Banashankari,1340.0,2,3,53.6,3,4000.0
2313,Malleshwaram,900.0,2,1,95.0,2,10555.555555555555
2315,Hennur Road,987.0,2,1,49.0,2,4964.5390070921985
2316,Old Madras Road,1720.0,3,2,100.0,3,5813.953488372093
2317,Hebbal,1040.0,2,1,50.0,2,4807.692307692308
2318,Anandapura,900.0,2,0,64.0,2,7111.111111111111
2319,Raja Rajeshwari Nagar,1030.0,2,1,50.0,2,4854.368932038835
2320,other,2556.0,3,2,133.0,3,5203.442879499217
2321,Basavangudi,1850.0,3,1,168.0,3,9081.081081081082
2324,7th Phase JP Nagar,1270.0,2,1,83.0,2,6535.433070866142
2325,Sahakara Nagar,1655.0,3,1,115.0,3,6948.640483383686
2326,Electronics City Phase 1,940.0,2,1,40.0,2,4255.31914893617
2327,Domlur,1050.0,2,2,85.0,2,8095.238095238095
2328,other,600.0,4,1,40.0,4,6666.666666666667
2329,other,946.0,2,1,38.0,2,4016.913319238901
2330,CV Raman Nagar,1726.0,3,3,145.0,3,8400.92699884125
2332,Vittasandra,1404.0,2,1,75.0,2,5341.880341880342
2334,Kengeri,1025.0,2,2,57.0,2,5560.975609756098
2335,other,1575.0,4,0,150.0,5,9523.809523809523
2336,other,860.0,1,1,43.0,2,5000.0
2337,Talaghattapura,1223.0,2,1,42.81,3,3500.408830744072
2339,Kothannur,1197.0,2,1,47.8,2,3993.316624895572
2340,Garudachar Palya,1150.0,2,1,52.75,2,4586.95652173913
2342,R.T. Nagar,1040.0,2,2,46.0,2,4423.076923076923
2343,Banashankari,1310.0,2,2,80.0,2,6106.8702290076335
2344,Uttarahalli,1788.0,3,2,98.34,3,5500.0
2346,other,1070.0,2,2,39.0,2,3644.8598130841124
2347,other,1200.0,2,2,70.0,2,5833.333333333333
2348,Ambedkar Nagar,1862.0,3,2,120.0,3,6444.68313641246
2349,Margondanahalli,1200.0,2,1,58.5,2,4875.0
2351,Kasavanhalli,1646.0,3,2,79.5,3,4829.890643985419
2352,Sarjapur  Road,4395.0,4,2,242.0,4,5506.257110352673
2353,other,1200.0,4,1,100.0,5,8333.333333333334
2354,Iblur Village,1995.0,3,2,135.0,3,6766.917293233083
2356,Hosakerehalli,1085.0,2,1,47.74,2,4400.0
2357,Budigere,1139.0,2,2,56.8,2,4986.830553116769
2358,Haralur Road,1092.0,2,2,44.0,2,4029.3040293040294
2359,Pattandur Agrahara,1767.0,3,2,98.0,3,5546.1233729485
2360,other,1700.0,3,2,80.0,3,4705.882352941177
2361,Bellandur,1692.0,3,2,88.0,3,5200.945626477542
2362,6th Phase JP Nagar,1645.0,3,3,100.0,3,6079.0273556231
2363,Uttarahalli,1345.0,2,1,57.0,3,4237.918215613383
2364,other,1100.0,2,1,60.0,2,5454.545454545455
2365,Gollarapalya Hosahalli,1408.0,3,3,62.0,3,4403.409090909091
2366,Banashankari Stage III,2400.0,4,1,240.0,4,10000.0
2367,Kadugodi,1920.0,4,2,200.0,4,10416.666666666666
2369,Thigalarapalya,2072.0,4,2,150.0,3,7239.382239382239
2370,Malleshwaram,1420.0,2,1,158.0,2,11126.760563380281
2371,Electronics City Phase 1,2040.0,3,2,137.0,3,6715.686274509804
2372,Sarjapur  Road,1220.0,3,2,56.0,3,4590.163934426229
2374,other,1300.0,2,1,79.0,2,6076.923076923077
2376,KR Puram,1470.0,2,2,86.0,2,5850.340136054422
2378,other,1311.0,2,2,48.0,2,3661.3272311212813
2379,other,3500.0,4,3,350.0,4,10000.0
2381,other,1400.0,2,2,55.0,3,3928.5714285714284
2383,Thanisandra,1430.0,2,2,56.0,3,3916.083916083916
2384,Vidyaranyapura,1060.0,2,2,55.0,2,5188.679245283019
2385,other,1000.0,2,0,110.0,3,11000.0
2386,Sector 7 HSR Layout,1760.0,3,2,145.0,3,8238.636363636364
2387,Whitefield,2010.0,3,3,92.0,3,4577.114427860696
2388,Kanakpura Road,1480.0,2,2,64.23,3,4339.864864864865
2389,8th Phase JP Nagar,1230.0,2,2,43.5,3,3536.5853658536585
2390,Gottigere,1300.0,3,3,65.0,3,5000.0
2392,Frazer Town,4850.0,6,2,385.0,4,7938.144329896907
2393,Singasandra,1100.0,2,1,52.0,2,4727.272727272727
2394,Harlur,1752.12,3,2,116.0,3,6620.551103805676
2395,Marathahalli,957.0,2,1,46.9,2,4900.73145245559
2396,Balagere,790.0,1,0,41.9,1,5303.797468354431
2397,other,1942.0,3,2,102.0,3,5252.317198764161
2398,other,1000.0,2,2,53.0,2,5300.0
2399,Yeshwanthpur,668.0,1,1,36.85,1,5516.4670658682635
2402,Uttarahalli,1089.0,2,1,43.55,2,3999.0817263544536
2403,Thanisandra,1800.0,3,3,90.0,3,5000.0
2405,Yelahanka,1036.0,2,3,39.35,2,3798.262548262548
2406,Marathahalli,1583.0,3,3,105.0,3,6632.975363234365
2407,7th Phase JP Nagar,3300.0,4,0,150.0,4,4545.454545454545
2408,Padmanabhanagar,1100.0,2,2,65.0,2,5909.090909090909
2410,Vittasandra,1246.0,2,1,65.0,2,5216.69341894061
2412,Raja Rajeshwari Nagar,1196.0,2,2,51.51,2,4306.8561872909695
2413,Thanisandra,1697.0,3,2,114.0,3,6717.737183264585
2414,TC Palaya,1000.0,2,0,64.0,2,6400.0
2415,HRBR Layout,1567.0,3,3,90.0,3,5743.458838544991
2417,Sarjapur  Road,3750.0,6,3,290.0,4,7733.333333333333
2418,other,950.0,2,2,45.0,2,4736.8421052631575
2419,other,1022.0,2,2,52.0,2,5088.062622309198
2422,Bharathi Nagar,1322.0,2,2,68.0,2,5143.721633888048
2423,other,1800.0,4,2,145.0,4,8055.555555555556
2424,Doddakallasandra,1460.0,2,2,58.39,3,3999.3150684931506
2425,other,990.0,2,1,44.55,2,4500.0
2426,other,2400.0,3,1,260.0,3,10833.333333333334
2427,Whitefield,1635.0,2,2,85.0,3,5198.7767584097855
2429,Padmanabhanagar,3400.0,3,1,210.0,4,6176.470588235294
2431,EPIP Zone,3035.0,5,0,200.0,4,6589.785831960461
2432,other,1533.0,3,2,85.0,3,5544.683626875408
2433,Akshaya Nagar,1720.0,3,1,134.0,3,7790.697674418605
2434,Frazer Town,2000.0,3,1,200.0,3,10000.0
2435,Yeshwanthpur,1185.0,2,2,75.84,2,6400.0
2438,Electronic City Phase II,1031.0,2,1,56.35,2,5465.56741028128
2440,Thanisandra,2650.0,4,2,240.0,4,9056.603773584906
2443,Hennur,1259.0,2,2,57.0,2,4527.4027005559965
2444,Raja Rajeshwari Nagar,1570.0,3,2,88.0,3,5605.095541401274
2446,Whitefield,1216.0,2,1,79.0,2,6496.710526315789
2447,Sarjapur  Road,1428.0,2,2,66.0,3,4621.848739495798
2450,other,1475.0,3,2,70.0,3,4745.762711864407
2451,Harlur,1754.0,3,2,135.0,3,7696.693272519954
2452,Rayasandra,1639.0,3,1,83.0,3,5064.063453325199
2453,Hennur Road,1804.0,3,2,102.0,3,5654.10199556541
2454,Whitefield,1200.0,3,2,56.2,3,4683.333333333333
2455,other,1135.0,2,3,55.0,2,4845.814977973569
2456,Begur Road,1260.0,2,2,46.62,2,3700.0
2457,other,1440.0,5,1,110.0,5,7638.888888888889
2458,Hennur Road,2160.0,3,2,160.0,3,7407.407407407408
2460,Rachenahalli,1220.0,2,2,59.5,2,4877.049180327869
2461,Margondanahalli,1200.0,2,0,67.0,2,5583.333333333333
2462,Yelahanka,1300.0,2,3,65.0,2,5000.0
2463,other,605.0,1,1,29.0,1,4793.388429752066
2465,Bhoganhalli,1444.0,2,1,75.97,2,5261.0803324099725
2466,Amruthahalli,924.0,2,1,45.0,2,4870.12987012987
2471,Kanakpura Road,700.0,2,1,35.0,2,5000.0
2472,Kothanur,1187.0,2,2,58.0,2,4886.2679022746415
2474,Devarachikkanahalli,1200.0,2,2,83.0,2,6916.666666666667
2475,other,1452.55,2,3,110.0,2,7572.889057175313
2476,other,2357.0,3,2,151.0,3,6406.448875689436
2477,Kaval Byrasandra,1200.0,2,1,49.5,2,4125.0
2478,Budigere,1139.0,2,2,56.85,2,4991.220368744513
2480,Kanakpura Road,1660.0,3,3,75.0,3,4518.0722891566265
2481,other,1170.0,2,3,105.0,2,8974.358974358975
2482,Somasundara Palya,1448.0,2,2,68.0,2,4696.132596685083
2483,Kadugodi,1762.0,3,3,110.0,3,6242.905788876277
2485,Yelahanka,1825.0,3,1,105.0,3,5753.424657534247
2486,Bhoganhalli,296.0,1,0,22.89,1,7733.108108108108
2487,other,1200.0,4,1,85.0,5,7083.333333333333
2488,Thanisandra,1185.0,2,2,43.0,2,3628.6919831223627
2490,Hulimavu,1058.0,2,1,48.0,2,4536.862003780719
2491,Bellandur,1220.0,2,2,60.0,2,4918.0327868852455
2493,Old Madras Road,1200.0,2,1,72.0,2,6000.0
2496,other,1411.0,3,2,91.72,3,6500.3543586109145
2497,Bannerghatta Road,1550.0,3,2,78.0,3,5032.258064516129
2498,Green Glen Layout,3250.0,4,3,230.0,4,7076.923076923077
2499,Haralur Road,2475.0,4,2,130.0,3,5252.525252525253
2500,Jakkur,3181.0,4,3,260.5,4,8189.248663942157
2501,7th Phase JP Nagar,2503.0,4,0,188.0,4,7510.986815821015
2502,Marathahalli,2524.0,5,2,190.0,4,7527.733755942948
2503,Kaggadasapura,1063.0,2,2,42.0,2,3951.081843838194
2504,Kanakpura Road,1077.0,2,1,37.7,2,3500.4642525533895
2505,other,1200.0,3,2,44.0,2,3666.6666666666665
2506,Hosakerehalli,1500.0,3,2,70.0,4,4666.666666666667
2507,Jalahalli,1045.0,2,2,76.77,2,7346.411483253589
2509,Hoodi,1400.0,2,1,78.0,2,5571.428571428572
2510,Begur Road,1600.0,3,2,58.14,3,3633.75
2512,Nagavara,1545.0,2,1,58.0,3,3754.045307443366
2513,Sarjapur  Road,1680.0,3,1,112.0,3,6666.666666666667
2514,other,1350.0,2,1,67.5,2,5000.0
2515,Gottigere,950.0,2,1,38.0,2,4000.0
2516,Thanisandra,1050.0,2,2,45.0,2,4285.714285714285
2517,other,1305.0,2,2,49.0,3,3754.7892720306513
2519,Kodichikkanahalli,2700.0,7,2,125.0,5,4629.62962962963
2520,other,1100.0,3,1,78.0,3,7090.909090909091
2521,Thanisandra,3500.0,5,0,160.0,6,4571.428571428572
2522,Begur Road,1634.0,3,1,83.33,3,5099.7552019583845
2523,Prithvi Layout,1352.0,2,2,85.0,2,6286.98224852071
2524,Balagere,1145.0,2,2,65.0,2,5676.855895196507
2525,other,1240.0,2,1,43.79,2,3531.451612903226
2526,7th Phase JP Nagar,2200.0,3,2,190.0,3,8636.363636363636
2527,other,1020.0,2,1,39.0,2,3823.529411764706
2528,other,3600.0,4,3,365.0,4,10138.888888888889
2529,Raja Rajeshwari Nagar,1168.0,2,1,61.0,2,5222.602739726028
2530,Electronic City Phase II,1205.0,2,1,75.0,2,6224.066390041494
2531,Yeshwanthpur,1195.0,2,2,100.0,2,8368.200836820084
2532,CV Raman Nagar,1028.0,2,1,49.0,2,4766.536964980544
2533,other,1175.0,2,2,48.27,2,4108.085106382979
2534,Pai Layout,1550.0,2,2,90.0,3,5806.451612903225
2535,Yeshwanthpur,1826.0,3,2,165.0,3,9036.144578313253
2536,Hoodi,2400.0,5,2,160.0,5,6666.666666666667
2537,Yelahanka,1603.0,3,2,96.0,3,5988.7710542732375
2538,Marathahalli,1350.0,3,1,72.0,3,5333.333333333333
2539,KR Puram,714.0,1,1,28.0,1,3921.5686274509803
2540,Whitefield,1215.0,2,3,65.0,2,5349.794238683127
2541,Malleshpalya,1405.0,2,2,77.0,3,5480.427046263345
2542,KR Puram,1142.0,2,1,51.0,2,4465.84938704028
2543,other,4000.0,4,3,170.0,4,4250.0
2544,Whitefield,1870.0,3,2,90.0,3,4812.834224598931
2545,Subramanyapura,1313.0,2,2,73.0,2,5559.786747905559
2546,other,1945.0,3,3,120.0,3,6169.665809768638
2547,Thanisandra,1573.0,3,2,95.0,3,6039.4151303242215
2548,Sarjapur  Road,1255.0,2,1,92.0,2,7330.677290836654
2549,other,1400.0,3,2,91.15,4,6510.714285714285
2550,Kannamangala,1235.0,2,2,43.63,2,3532.7935222672063
2551,Sarjapur  Road,1380.0,2,1,52.0,3,3768.1159420289855
2553,Vittasandra,1238.0,2,1,67.0,2,5411.954765751211
2554,other,1465.0,2,3,74.72,3,5100.341296928327
2555,Thigalarapalya,1418.0,2,2,103.0,2,7263.7517630465445
2556,other,1650.0,3,1,165.0,3,10000.0
2557,Anekal,351.0,1,1,16.0,1,4558.404558404558
2558,Uttarahalli,1279.0,2,2,48.0,2,3752.9319781078966
2559,Kasavanhalli,1870.0,3,1,200.0,3,10695.187165775402
2561,Hebbal,2526.0,2,2,250.0,3,9897.070467141726
2562,other,1550.0,2,1,150.0,3,9677.41935483871
2564,Uttarahalli,1845.0,2,1,68.27,3,3700.271002710027
2565,other,1360.0,2,1,59.27,3,4358.088235294118
2566,other,1150.0,2,1,75.0,3,6521.739130434783
2567,Whitefield,1260.0,2,2,49.5,2,3928.5714285714284
2568,other,1200.0,3,1,74.0,3,6166.666666666667
2569,Dasanapura,965.0,2,1,42.5,2,4404.145077720207
2570,Hoodi,1350.0,2,3,48.0,3,3555.5555555555557
2571,Bhoganhalli,1447.0,2,1,75.97,2,5250.172771250864
2572,other,1229.0,3,1,86.03,3,7000.0
2573,Kudlu,1027.0,2,2,43.0,2,4186.952288218111
2574,Gottigere,1153.0,2,1,48.5,2,4206.418039895923
2575,Whitefield,2856.0,5,0,145.5,4,5094.53781512605
2576,Malleshpalya,1065.0,2,2,50.0,2,4694.835680751174
2577,other,1030.0,2,3,61.0,2,5922.330097087379
2578,Mallasandra,1340.0,2,2,61.0,2,4552.238805970149
2579,Marathahalli,4000.0,5,3,212.0,4,5300.0
2580,other,600.0,1,0,32.0,1,5333.333333333333
2582,Varthur,1055.0,2,2,45.35,2,4298.578199052133
2583,Yelahanka,1304.0,2,1,79.0,2,6058.2822085889575
2586,7th Phase JP Nagar,1035.0,2,1,39.33,2,3800.0
2587,Tumkur Road,700.0,1,0,30.09,1,4298.571428571428
2588,Sonnenahalli,1120.0,2,2,43.0,2,3839.285714285714
2589,Haralur Road,1300.0,2,2,73.0,2,5615.384615384615
2590,Tumkur Road,1239.0,2,1,82.0,2,6618.240516545601
2591,Sarjapur  Road,1403.0,3,3,51.63,3,3679.9714896650034
2592,Hosa Road,1365.0,2,1,92.0,2,6739.92673992674
2593,other,1165.0,2,1,135.0,2,11587.982832618025
2594,Subramanyapura,1130.0,2,3,45.19,3,3999.1150442477874
2595,Green Glen Layout,1776.42,3,2,105.0,3,5910.764346269463
2597,Haralur Road,1194.0,2,2,47.0,2,3936.348408710218
2599,Nagavara,2319.0,3,2,180.0,3,7761.966364812419
2600,other,1520.0,3,3,80.0,3,5263.1578947368425
2601,Kannamangala,1536.0,3,1,89.0,3,5794.270833333333
2602,other,3000.0,4,2,240.0,4,8000.0
2603,other,1050.0,2,1,38.0,2,3619.0476190476193
2604,Hoodi,1850.0,3,2,146.0,3,7891.891891891892
2605,Billekahalli,1112.0,2,2,62.0,2,5575.5395683453235
2606,Marathahalli,1535.0,3,2,72.5,3,4723.127035830619
2609,7th Phase JP Nagar,1250.0,3,2,65.0,3,5200.0
2610,Kalena Agrahara,1187.0,2,3,52.0,2,4380.791912384162
2611,9th Phase JP Nagar,1164.0,2,1,56.0,2,4810.996563573884
2612,Electronic City Phase II,1395.0,2,1,62.78,3,4500.358422939068
2613,Arekere,2072.0,3,2,108.0,3,5212.355212355213
2614,Kanakpura Road,1450.0,3,3,60.91,3,4200.689655172414
2615,Bannerghatta Road,1550.0,3,2,82.0,3,5290.322580645161
2616,other,1315.0,2,2,90.0,2,6844.106463878327
2617,Hebbal,3067.0,4,3,230.0,4,7499.184871209651
2618,other,1210.0,2,2,72.0,2,5950.413223140496
2619,Bisuvanahalli,1075.0,2,1,47.0,3,4372.093023255814
2622,Kaggadasapura,1470.0,2,2,75.0,3,5102.040816326531
2623,other,30000.0,4,3,2100.0,4,7000.0
2624,Hosur Road,1590.0,2,2,125.0,3,7861.635220125786
2626,Raja Rajeshwari Nagar,1306.0,2,1,55.91,2,4281.010719754977
2628,other,1445.0,3,2,64.0,3,4429.065743944637
2629,Sarjapur  Road,1220.0,3,2,58.0,3,4754.098360655737
2630,Sarjapur,3190.0,3,1,160.0,4,5015.673981191223
2631,Ramagondanahalli,1215.0,2,1,51.26,2,4218.930041152264
2632,Budigere,1920.0,2,1,88.0,3,4583.333333333333
2633,Dodda Nekkundi,1390.0,2,2,60.0,2,4316.546762589928
2634,Battarahalli,800.0,2,1,75.0,3,9375.0
2636,Hoodi,1196.0,2,0,71.74,2,5998.327759197324
2637,Bannerghatta Road,1550.0,2,2,75.0,3,4838.709677419355
2638,Thigalarapalya,1418.0,2,2,101.0,2,7122.708039492242
2639,other,1655.0,3,2,115.0,3,6948.640483383686
2641,other,1170.0,2,2,68.0,2,5811.965811965812
2642,Anekal,1035.0,2,2,38.3,2,3700.483091787439
2643,Singasandra,1306.0,2,2,58.0,3,4441.04134762634
2645,Thanisandra,1917.0,3,3,122.0,3,6364.110589462703
2646,Kaggadasapura,1615.0,3,3,58.0,3,3591.331269349845
2647,Marathahalli,1071.0,2,2,52.25,2,4878.618113912232
2648,Koramangala,1325.0,2,2,119.0,2,8981.132075471698
2650,5th Phase JP Nagar,1400.0,2,1,88.0,3,6285.714285714285
2651,Tumkur Road,1246.0,2,1,82.0,2,6581.0593900481545
2653,Munnekollal,1200.0,2,2,49.5,2,4125.0
2655,Kodigehaali,1200.0,2,2,60.0,2,5000.0
2656,Kaval Byrasandra,945.0,2,2,50.0,2,5291.005291005291
2658,Hormavu,1175.0,2,1,52.0,2,4425.531914893617
2659,Whitefield,920.0,2,1,63.0,2,6847.826086956522
2660,Hosakerehalli,3024.0,5,1,350.0,4,11574.074074074075
2661,other,1600.0,2,2,110.0,2,6875.0
2664,other,955.0,1,2,34.01,2,3561.256544502618
2665,Ardendale,1750.0,3,3,100.0,3,5714.285714285715
2666,Uttarahalli,1425.0,2,2,64.0,3,4491.228070175439
2669,Kaggadasapura,1050.0,2,2,48.0,2,4571.428571428572
2670,other,1370.0,2,2,75.0,3,5474.4525547445255
2671,Electronic City,1374.0,2,1,72.0,3,5240.174672489083
2672,Harlur,1754.0,3,2,124.0,3,7069.555302166476
2673,Kothanur,1847.0,3,2,110.0,3,5955.603681645913
2674,Ambedkar Nagar,1850.0,4,3,139.0,3,7513.513513513513
2675,Chikka Tirupathi,3297.0,3,1,135.0,3,4094.631483166515
2676,other,1187.0,2,2,45.0,2,3791.0699241786015
2678,other,600.0,2,0,30.0,3,5000.0
2680,other,3000.0,2,2,120.0,3,4000.0
2681,Thanisandra,693.0,1,1,34.3,1,4949.494949494949
2682,other,1980.0,3,2,224.0,3,11313.131313131313
2683,KR Puram,1021.0,2,1,48.0,2,4701.273261508325
2684,Thigalarapalya,1165.0,2,2,95.0,2,8154.50643776824
2685,Horamavu Agara,1756.0,3,2,92.0,3,5239.179954441914
2686,Bharathi Nagar,1739.0,3,1,105.0,3,6037.952846463485
2687,Varthur,1280.0,2,1,65.0,2,5078.125
2688,Marathahalli,1215.0,2,2,58.86,2,4844.444444444444
2689,Munnekollal,950.0,2,1,46.5,2,4894.736842105263
2690,Kengeri,1082.0,2,1,49.0,3,4528.650646950093
2691,7th Phase JP Nagar,1050.0,2,1,42.0,2,4000.0
2692,Devanahalli,1080.0,2,0,53.35,2,4939.814814814815
2693,Arekere,1100.0,2,2,55.0,2,5000.0
2694,Ardendale,3200.0,4,1,205.0,4,6406.25
2695,Sarjapur  Road,1311.0,2,1,78.0,2,5949.656750572082
2696,Raja Rajeshwari Nagar,1608.0,3,1,67.98,3,4227.611940298508
2698,Whitefield,1170.0,2,1,71.0,2,6068.376068376068
2699,Kengeri,1155.0,2,2,40.6,2,3515.151515151515
2700,Hebbal,1255.0,2,1,77.68,3,6189.641434262949
2701,Rayasandra,1065.0,2,2,44.95,2,4220.657276995305
2703,Ambedkar Nagar,1936.0,4,2,126.0,3,6508.264462809917
2704,other,2289.0,3,2,260.0,3,11358.671909130624
2706,Ramagondanahalli,2257.0,4,2,157.0,3,6956.136464333185
2707,Nagarbhavi,1055.0,2,2,55.0,2,5213.270142180095
2709,other,1700.0,3,1,97.0,3,5705.882352941177
2710,Raja Rajeshwari Nagar,1575.0,2,2,78.0,3,4952.380952380952
2711,Frazer Town,3500.0,4,2,330.0,3,9428.57142857143
2712,Rajiv Nagar,1263.0,2,1,93.32,2,7388.756927949327
2713,KR Puram,1559.0,3,0,69.315,3,4446.119307248236
2714,Kengeri Satellite Town,1043.0,2,2,65.0,2,6232.023010546501
2715,Hennur,1255.0,2,2,53.5,2,4262.948207171315
2716,JP Nagar,1352.0,2,0,93.865,2,6942.677514792899
2718,Yelahanka,1550.0,3,1,120.0,3,7741.935483870968
2719,Sarjapur  Road,1220.0,3,3,56.0,3,4590.163934426229
2720,other,1900.0,3,3,160.0,3,8421.052631578947
2721,other,1360.0,3,3,55.0,3,4044.1176470588234
2722,other,1100.0,2,1,75.0,2,6818.181818181818
2723,8th Phase JP Nagar,1455.0,3,2,73.31,3,5038.487972508591
2724,KR Puram,1035.0,2,1,40.5,2,3913.0434782608695
2725,Harlur,1152.0,2,2,69.0,2,5989.583333333333
2726,Bellandur,1299.0,2,2,82.0,2,6312.548113933795
2727,Sarjapur  Road,1157.0,2,1,75.0,3,6482.281763180639
2728,Rachenahalli,1050.0,2,2,52.5,2,5000.0
2729,Pai Layout,1050.0,2,2,40.0,2,3809.5238095238096
2730,Vittasandra,1246.0,2,1,67.4,2,5409.309791332264
2731,other,1929.0,3,2,115.0,3,5961.638154484189
2732,Hennur,1285.0,2,1,60.0,2,4669.260700389105
2733,Margondanahalli,1200.0,2,0,65.0,3,5416.666666666667
2734,other,3161.0,4,3,214.0,4,6770.00949066751
2735,BTM 2nd Stage,1850.0,3,2,170.0,3,9189.18918918919
2736,other,1025.0,2,0,37.0,3,3609.756097560976
2737,Malleshwaram,1124.0,3,2,80.0,2,7117.437722419929
2738,Balagere,1012.0,2,1,54.59,2,5394.268774703557
2739,other,4500.0,5,3,250.0,7,5555.555555555556
2740,8th Phase JP Nagar,871.0,2,2,55.0,2,6314.580941446613
2741,other,1020.0,2,2,40.0,2,3921.5686274509803
2742,Rachenahalli,1550.0,3,3,73.5,3,4741.935483870968
2744,Akshaya Nagar,1410.0,2,2,80.0,3,5673.758865248227
2745,Chikka Tirupathi,3500.0,5,3,150.0,4,4285.714285714285
2746,Whitefield,1118.0,2,1,75.0,2,6708.4078711985685
2747,Thanisandra,1098.0,2,1,68.0,2,6193.078324225865
2748,Kanakapura,1130.0,2,1,45.2,2,4000.0
2749,Sarjapur  Road,1145.0,2,2,75.0,2,6550.218340611354
2750,Kadugodi,950.0,3,1,80.0,3,8421.052631578947
2753,Marathahalli,1102.0,2,2,53.67,2,4870.235934664247
2754,Jalahalli,1478.0,2,2,125.0,2,8457.374830852503
2756,Hebbal,823.0,2,1,50.63,2,6151.883353584447
2757,Abbigere,880.0,2,1,35.0,2,3977.2727272727275
2759,Budigere,1991.0,4,2,100.0,3,5022.601707684581
2760,TC Palaya,1100.0,3,1,50.0,3,4545.454545454545
2761,Gubbalala,1745.0,3,2,115.0,3,6590.25787965616
